sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
27706@1,-80.05378378,40.33039583,42,19,13,14,38,157,474,782,789,699,620,669,721,714,762,876,995,96,910,750,496,369,176,98
3930@1,-79.89728335,40.55563462,2,2,-1,1,5,21,80,194,147,63,49,61,62,62,111,123,197,173,117,84,37,27,20,14
5725@1,-79.96434652,40.50237059,9,7,5,5,9,36,201,308,266,155,134,149,126,148,248,335,360,388,250,193,184,75,57,28
13669@1,-79.85038154,40.46296797,91,58,53,30,54,150,406,693,713,578,553,535,623,661,759,768,868,923,788,537,461,350,250,149
23841@1,-79.99373698,40.45015983,7,4,5,7,8,21,72,114,121,124,151,149,153,157,159,166,190,181,141,103,68,46,26,12
6790@1,-79.88841878,40.42997019,25,7,11,9,29,104,685,512,585,419,239,234,237,199,283,327,305,289,253,228,132,93,54,36
5681@1,-80.1287915,40.59971148,10,4,2,4,10,48,90,163,122,105,87,87,83,108,112,135,189,184,113,87,66,35,18,13
10653@1,-80.09229647,40.34713498,26,8,11,26,54,240,593,753,649,394,373,416,459,441,602,653,813,780,627,411,299,196,95,57
19423@1,-79.87214848,40.43383318,23.5,10,16,28.5,40,151.5,399.5,531,490.5,340.5,319,273.5,292,306,373,425.5,489,469.5,385.5,330.5,261,209,135.5,79
38407@1,-80.26091149,40.44437823,2,-1,2,6,3,40,57,84,53,45,68,91,115,83,125,110,99,97,100,76,66,52,26,25
27579@1,-79.8622094,40.40294328,15,9,5,7,10,38,116,191,173,172,168,220,221,207,226,227,278,294,226,175,124,85,72,44
5657@1,-80.13783041,40.48841317,1,3,-1,5,6,10,58,58,67,61,43,42,47,46,58,73,68,102,81,63,69,33,14,16
27730@1,-79.88702267,40.32689949,29,20,11,13,20,75,164,263,227,159,154,207,238,241,348,445,420,418,372,232,173,159,111,59
54@2,-80.16024964,40.44281455,68,96,59,104,163,367,745,56,412,324,289,358,597,765,842,7,739,489,914,821,626,509,354,156
54@1,-80.16083072,40.44289918,159,70,108,128,181,357,644,906,345,278,270,385,662,792,833,986,599,356,856,780,732,502,371,221
5513@1,-80.14574256,40.41985179,6,1,-1,-1,2,5,21,33,28,25,16,33,34,30,27,40,50,52,32,29,13,15,8,2
38265@1,-79.77316612,40.44473581,39,16,10,21,23,108,240,345,399,247,235,278,223,262,353,417,389,435,366,308,195,167,113,53
21584@1,-80.15840856,40.46590797,70,28,17,42,55,173,474,980,26,733,665,736,953,943,883,25,443,153,238,831,550,377,227,126
27857@1,-79.89855517,40.23090191,1,3,3,1,7,16,39,33,28,30,32,39,41,44,31,36,60,68,42,18,32,15,24,10
27608@1,-80.079204,40.58428671,4,6,19,70,351,483,383,292,298,350,320,295,457,518,682,720,485,303,204,120,52,36,14,8
5961@1,-79.80974492,40.49373024,26,25,14,8,15,69,166,315,237,162,161,181,191,202,219,278,314,363,252,195,136,109,81,57
21609@1,-80.27836587,40.46860562,-1,1,-1,-1,1,-1,10,6,2,2,3,5,6,6,4,3,9,9,1,12,1,1,1,1
5738@1,-80.08192709,40.61963683,23,9,20,16,41,201,712,439,285,979,12,26,987,885,16,217,446,726,278,689,392,262,180,50
6110@1,-79.96417921,40.35357872,4,6,-1,16,42,69,79,72,98,125,111,117,128,131,149,133,149,133,109,98,72,36,39,17
12354@1,-80.0294093,40.29734941,56,38,21,73,195,426,579,578,544,664,633,695,718,748,772,882,948,868,767,691,442,288,178,91
5472@1,-80.11073905,40.33659569,14,5,4,1,10,84,172,280,330,261,318,287,334,282,305,353,418,430,356,248,178,130,45,25
19394@1,-79.84626378,40.44481457,71,18,18,20,26,70,201,341,363,268,259,321,289,369,373,403,530,510,411,319,223,209,115,78
5980@1,-79.75746516,40.52406736,6,-1,2,7,10,35,89,87,69,68,66,53,57,54,90,110,125,125,78,79,46,34,17,10
27558@1,-79.96536164,40.41840852,19,9.5,7.5,13.5,17,80,265.5,361,301,200,181,187.5,241,273.5,395,427.5,508,481,424.5,288.5,186,118.5,75.5,54
10594@1,-80.11982359,40.57944632,9,3,5,7,6,36,70,144,98,58,56,62,68,58,88,96,124,157,112,60,45,25,22,8
21354@1,-80.13070574,40.44418626,9,2.5,6,6.5,14,52,111,201.5,182.5,120.5,100,118,135,129.5,147.5,208.5,257,278,178,137.5,84.5,63,42,21.5
27546@1,-79.98261812,40.39031769,39,26,26,66,284,742,884,675,434,418,388,430,487,541,568,645,592,589,444,375,297,268,155,95
5294@1,-80.04168799,40.48195197,29,11,9,15,20,46,171,261,203,161,137,186,204,208,284,296,374,327,263,184,146,119,103,64
10545@1,-79.92520665,40.34555596,111,66,54,75,178,374,663,790,738,530,519,604,637,643,693,823,898,859,689,463,380,318,244,170
14679@1,-79.87363517,40.49047561,32,16,12,13,33,94,233,385,408,280,234,233,208,232,274,351,371,423,324,198,184,132,95,55
2910@2,-80.17809051,40.52344976,80,38,42,29,53,191,512,822,790,621,541,607,870,803,926,35,39,27,797,631,511,385,311,149
26543@1,-80.13801303,40.51975183,123,61,70,107,186,333,887,377,89,814,773,727,732,750,97,249,344,481,121,642,549,512,374,252
6105@2,-79.94631048,40.34832669,130,78,79,58,113,351,677,71,930,763,868,915,948,919,979,163,213,261,36,755,647,569,410,244
27877@1,-80.2139378,40.58898489,11,3,1,3,8,23,35,53,48,38,43,41,35,31,49,82,72,75,59,49,37,24,23,18
23707@1,-80.10171525,40.6293471,16,4,-1,3,9,21,59,174,132,134,100,100,113,108,107,140,220,228,158,108,100,31,37,19
5945@1,-79.76657237,40.47525428,41,25,20,21,43,178,498,639,599,460,480,500,597,546,636,795,849,814,686,520,325,216,147,113
5645@1,-80.22920294,40.53189001,11,19,14,39,101,414,710,551,480,465,534,556,567,646,656,818,817,703,588,439,304,142,90,48
6053@1,-79.9404011,40.2384353,11,4,3,2,9,23,30,31,43,26,30,41,41,62,56,54,74,49,42,37,32,23,17,14
16100@1,-79.8990999,40.6244054,31,16,15,17,44,137,381,495,393,252,303,269,310,325,429,565,698,637,478,420,283,149,126,56
6108@1,-79.97895033,40.34509807,24,16,17,46,184,564,686,569,474,557,531,506,536,576,738,813,756,574,427,359,266,150,70,43
27625@1,-80.06554269,40.45392547,44,18,25,30,54,60,75,112,195,224,226,306,419,466,486,352,344,306,303,289,257,293,165,138
5526@1,-80.30201477,40.44921657,4,1,-1,2,9,34,72,42,31,33,36,25,31,31,38,26,37,36,21,13,7,9,9,7
6074@1,-79.92370137,40.27445365,8,4,1,2,4,14,17,22,18,19,25,21,24,28,41,39,34,49,34,32,37,16,10,11
27461@1,-79.93980354,40.42256027,13,10,7,8,18,71,184,259,189,151,125,137,168,195,233,252,278,280,210,144,103,81,55,29
10540@1,-79.84994335,40.28071653,51,36,25,22,73,239,323,419,346,349,394,427,445,496,526,664,717,684,561,556,428,325,187,98
26521@1,-79.83565874,40.28092737,92,49,40,47,85,344,556,618,637,577,659,644,716,765,756,984,62,52,892,750,644,513,260,182
3931@1,-80.14961528,40.55074267,5,7,2,4,5,20,134,222,252,208,177,192,156,212,212,259,266,292,184,159,112,83,36,26
