Certification Type, Firm Name, Owners, Work Decsription, Business Profile, NAICS Codes, Physical Address, Mailing Address, Phone Number, Fax Number, Email Address, Website
DBE,"ASC Group, Inc.","Shaune M Skinner, Elsie A Immel-Blei","Conducts all levels of cultural resources, archaeological, historic architectural, ecological, wetlands and environmental site assessments, socioeconomic; land use and NEPA surveys, maps, and reports including photogrammetric mapping services (drone) and other scientific can tech consulting services",,"541360, 541370, 541620, 541690, 541720","800 Freeway Drive N., Suite 101  Columbus OH 43229","800 Freeway Drive N., Suite 101  Columbus OH 43229",614-268-2514,614-268-7881,sskinner@ascgroup.net,http://www.ascgroup.net,
DBE,"ATK Design Studios, LLC",Ms. Teri L Kidwell,Planning and design of food service facilities; project management,,"236220, 541410, 541611",1106 Ohio River Blvd Suit 606  Sewickley PA 15143,P. O. Box 305  Sewickley PA 15143,888-289-9008,,teri@atkdesignstudios.com,http://www.atkdesignstudios.com,
DBE,"Abator Information Services, Inc.","Joanne E Peterson, Marian Neilson, Minor Childern, Mr. Andrew Neilson","Information technology programming and software design, computer hardware/software consulting and integration network and information management, software installs and disaster recovery, computer training, languages/software, and general management consulting and staffing services.",,"518210, 541511, 541512, 541519, 541611, 541618, 541710, 561110, 561320, 611420",615 South Avenue  Pittsburgh PA 15221,615 South Avenue  Pittsburgh PA 15221,412-271-5922,412-271-5833,joanne@abator.com,http://www.abator.com,
DBE,"Absolute Excellence, Inc.",Ms. Linda Dunn,Computer consulting services and general IT services,,"423430, 541511, 611420",304 Brookside Drive  Baden PA 15005,304 Brookside Drive  Baden PA 15005,724-869-5667,,dunn181@comcast.net,,
DBE,"Accomplishonline, LLC",Jane Offutt,Provides sales and distribution of Accomplish Reading (r) application for students in grades 4-8.    The application utilizes immediate feedback and direct instruction to train comprehension monitoring.  The software holds a United States utility patent.,,"611110, 611710",1424 Mohican Drive  Pittsburgh PA 15228,1424 Mohican Drive  Pittsburgh PA 15228,412-531-0807,,jane@accomplishonline.com,http://www.accomplishonline.com,
DBE,AccountingTeks P. C.,Rose Schoy,"Provides certified public accounting services. Also assists businesses in increasing revenues by preparing cost reduction plans, providing management advisory services, oversight services, strategic planning to help increase net earnings, and marketing consulting services.",,"541211, 541611, 541613, 561110, 561440, 611420, 611430",104 Circle Drive  White Oak PA 15131,104 Circle Drive  White Oak PA 15131,412-818-8113,800-818-4505,rschoy@accountingteks.com,http://www.accountingteks.com,
DBE,"Acorn Supply & Distributing, Inc.","Ms. Gail Cather, Ms. Barbara L Roth","Merchant wholesaler for home furnishing; lumber, plywood, millwork, and wood panel; brick, stone, and related construction material; roofing, siding, and insulation material; other construction material; other commercial equipment; metal service centers and other metal; electrical apparatus and equipment, wiring supplies, and related equipment; electrical and electronic appliance, television, and radio set; plumbing and heating equipment and supplies (hydronics); warm air heating and air conditioning equipment and supplies; refrigeration equipment and supplies; construction and mining (except oil well) machinery and equipment; industrial machinery and equipment; industrial supplies; service establishment equipment and supplies; sporting and recreational goods and supplies; other miscellaneous durable goods; other chemical and allied products; paint, varnish and supplies.",,"423220, 423310, 423320, 423330, 423390, 423440, 423510, 423610, 423620, 423720, 423730, 423740, 423810, 423830, 423850",11167 Pulaski Highway  White Marsh MD 21162,11167 Pulaski Highway  White Marsh MD 21162,410-335-0547,410-335-0548,acornsup@comcast.net,,
DBE,"Actual Size Design & Communications, Inc","Ms. Mary M Kiernan, Mr. Robert J Kienan","Service company providing strategic planning and implementation, print design, web design, motion graphics, video design, marketing, and public relations",,"541430, 541613, 841810","5746 Baum Blvd, Suite 3  Pittsburgh PA 15206",Post Office Box 90243  Pittsburgh PA 15224,412-363-2100,,mary@actualsize.com,http://www.actualsize.com,
DBE,"Acuta Digital, Inc.",Dominic M Ebanks,"Provides scalable information technology services to include software/database design, data processing, infrastructure and computer system design, web media services, internet publishing, web hosting,  Graphic design services including print, logos, brochures.  Brand management. Market research and public opinion polling.",,"518210, 519130, 541430, 541511, 541512, 541910","700 River Avenue, Suite 413  Pittsburgh PA 15212","601 West 26th street, suite 325-253  New York NY 10001",866-965-3330 x14,866-993-0005,debanks@acutadigital.com,http://www.acutadigital.com,
DBE,"Ad Impressions, LP","Ms. Jamie Capan, AdImpressions Inc",Promotional products distributor.,,425120,201 Sharon Drive  Pittsburgh PA 15221,201 Sharon Drive  Pittsburgh PA 15221,412-422-2500,412-422-2500,jcapan@adimpressions.net,http://www.adimpressions.net,
DBE,Adelman Reporters,Ms. Nancy Grega,Court reporting services.,,561492,302 Torrey Pine Drive  Mars PA 16046,302 Torrey Pine Drive  Mars PA 16046,724-625-9101,724-625-9133,njgrega@gmail.com,,
DBE,"Advanced Plumbing & Mechanical, Inc.","Patricia A Hodovanich, John Hodovanich","Commercial plumbing and mechanical contracting services, and duct work manufacturer",,"238220, 332322, 332919",501 Steel Street  Aliquippa PA 15001,501 Steel Street  Aliquippa PA 15001,724-378-0123,724-378-0703,advanced501@verizon.net,,
DBE,"Advantus Engineers, LLC",Ms. Alicia Avick,"Engineering firm providing engineering consulting, design, commissioning, construction management, project management, and quality assurance services for private and government markets.",,"236220, 541310, 541330, 541340, 541618, 561210","300 Bilmar Drive, Suite 250  Pittsburgh PA 15205","300 Bilmar Drive, Suite 250  Pittsburgh PA 15205",412-489-9090,412-489-9090,aavick@advantusengineers.com,http://advantusengineers.com,
Both (DBE & ACDBE),"AeroTrip Transportation, LLC",Lucille M Plummer,Ride sharing application focused on transportation(airline) employee unique requirements.,,"485999, 561990","1400 Smokey Wood Drive, Unit 404  Pittsburgh PA 15218","1400 Smokey Wood Drive, Unit 404  Pittsburgh PA 15218",412-668-1009,,LP@ATripTrans.com,,
DBE,"Affiliated Services International, LLC","Mr. Juan Salguero, Mr. Darden Rhodes","Design-build services including pre-engineering investigation, technical studies, design, construction management, engineering services during construction, environmental consulting, construction implementation, and services during OANDM.",,"236115, 236210, 236220, 237110, 237120, 237130, 237210, 237310, 237990, 238910, 541330, 541690, 561730, 562211, 562910","647 Philadelphia Street, Suite 404  Indiana PA 15701","647 Philadelphia Street, Suite 404  Indiana PA 15701",814-846-4965,___-___-____,juan@aservicesint.com,http://www.aservicesint.com,
DBE,"AirProjects, Inc.",Ms. Ann F Ferraguto,Airport specific expertise and concessionaire services.,,"236220, 531190","908 Kings Street, Suite 400E  Alexandria VA 22314","908 Kings Street, Suite 400E  Alexandria VA 22314",703-683-5507,703-683-5508,EmilyE@AirProjects.net,http://www.airprojects.net,
DBE,"Al Geisler & Sons Trucking, Inc.","Ms. Deborah J Geisler, Mr. Allen Geisler",Dump truck service (hauling).,,484220,1989 McKees Rocks Road  McKees Rocks PA 15136,1989 McKees Rocks Road  McKees Rocks PA 15136,412-331-2555,412-331-1875,Debgeislertrucking@gmail.com,,
DBE,Alisha Branson,Ms. Alisha Branson,"Licensed Pennsylvania real estate sales person; standard, real estate consultant, title searches, notary service",,"531210, 541199",640 Rodi Road  Pittsburgh PA 15235,640 Rodi Road  Pittsburgh PA 15235,412-241-1697,412-241-1687,albranson1@gmail.com,,
DBE,All Access Rigging Co.,"Ms. Amy L Guzma, Mr. Michael Guzma","Provides access to infrastructures for inspection and repair purposes.  Also provides maintenance and protection of traffic services and bridge washing. Inland water freight transportation.  Commercial air, rail and water transportation equipment rental. Installation of drainage systems from bridge decks, needle scaling, faying surface area and/or blasting clean to base metal faying surface area and priming faying surfaces.",,"237310, 238990, 483211, 532411, 561790, 561990",2503 Brodhead Road  Aliquippa PA 15001,2503 Brodhead Road  Aliquippa PA 15001,724-203-4120,866-491-2140,amy@allaccessrigging.com,http://www.allaccessrigging.com,
DBE,"Allegheny Community Home Care, LLC",Ms. Tonja Smith,"Provides total patient care for individuals in various settings to promote independence, community involvement, and quality of life.  Services provided include personal finance and reporting, healthcare consulting, home healthcare services, home healthcare staffing, booking, payrolls services, transportation services, cleaning and environmental services, nursing care, property management services, professional and management development training, residential mental health and substance abuse facilities, residential intellectual and developmental disability facilities.  In addition, the firm is also licensed to provide assisted living facilities for the elderly and nursing care facilities.",,"485991, 531311, 541219, 541611, 561320, 611430, 621610, 623110, 623210, 623220, 623312, 623990",4268 Northern Pike  Monroeville PA 15146,4268 Northern Pike  Monroeville PA 15146,412-200-5325,412-200-5326,tonja.smith@achomecare.org,http://www.achomecare.org,
DBE,"Allegheny Textile Services, Inc.",Ms. Laura M Ford,"Industrial linen rental company providing linen service to hospitals, doctors, offices, nursing homes, restaurants, universities and more",,"812331, 812332",851 6th Avenue  Brackenridge PA 15014,851 6th Avenue  Brackenridge PA 15014,724-596-4100,724-200-7106,lmford@alleghtext.com,http://www.alleghtext.com,
DBE,"Alliance Drywall Interiors, Inc.","Eugene B Brown, Joseph Silverio, Alliance Drywall Interiors Inc","Interior finishing that includes metal studs, acoustical, drywall, plaster and insulation; supplier of lumber, plywood, millwork and wood panel products, brick, stone and related construction materials, roofing, siding and insulation materials, other construction materials, other durable goods, metal products, and hardware",,"238310, 423310, 423320, 423330, 423390, 423510, 423710, 423990",235 Cavitt Avenue  Trafford PA 15085,235 Cavitt Avenue  Trafford PA 15085,412-646-2103,412-646-2105,genebrown@alliancedrywall.net,http://www.alliancedrywall.net,
DBE,"Alpine Systems, Inc.","Kathleen Cone, George Cone",Public information displays,,"334119, 481119",1029 Dean Hill Road  Killington VT 05751,1029 Dean Hill Road  Killington VT 05751,802-422-3008,802-422-3204,kcone@alpinesystemsinc.com,http://www.alpinesystemsinc.com,
DBE,"Alvarez, Inc.","Mr. Alberto A Bustamante, Ms. Julie A Bustamante",Steel erection and rehabilitation of steel bridge superstructures,,"237310, 238120",786 Morganza Road  Canonsburg PA 15317,786 Morganza Road  Canonsburg PA 15317,724-916-4151,724-916-4168,connie@alvarezerectors.com,,
DBE,"Always Busy Consulting, LLC",Stephanie L Turman,"Management consulting company that provides technical assistance with identifying contract opportunities and matching of DBE firms and prime contractors, and general contractor construction services",,"236115, 236116, 236118, 236220, 237110, 237310, 237990, 238110, 238120, 238130, 238140, 238150, 238160, 541611, 541820",1210 Pennsylvania Avenue  Pittsburgh PA 15233,1306 Pennsylvania Avenue  Pittsburgh PA 15233,412-973-9102,,sturman@alwaysbusyconsulting.com,http://www.alwaysbusyconsulting.com,
DBE,"AmeriCare Staffing of Western Pennsylvania, Inc",Constance Spearman,Staffing Agency to include in-home non medical.  Janitorial services.  Administrative management and general management consulting services.,,"541611, 561720, 624120",10 Duff Road Suite 103  Pittsburgh PA 15235,10 Duff Road Suite 103  Pittsburgh PA 15235,412-241-2014,186-732-2073,ConnieSpearman@gmail.com,,
DBE,"American Custom Manufacturing, Inc.",Lee Burton,Structural and miscellaneous steel fabrication,,"331110, 332312",1528 Clinch Street  Cleveland TN 37311,Post Office Box 3630  Cleveland TN 37320,423-476-5599,423-476-4360,loburton@americancustom-steel.com,http://www.americancustom-steel.com,
DBE,Anderson Cleaning,Ms. Kathleen Anderson,Commercial and industrial janitorial services,,"561720, 561740, 561790",144 Garing Road  Chicora PA 16025,144 Garing Road  Chicora PA 16025,724-445-2849,724-607-1110,kathleen.anderson01@gmail.com,,
DBE,"Anderson Interiors, Inc.","Betty Anderson, Lisa AndersonGerber, Dana Heller, Kenneth Deluca","Business furniture and accessory office furnishings specializing in refurbished cubicles for compartmentalizing office spaces, window shade and blind installation, drapery fixture (e.g., hardware, rods, tracks) installation, window shade and blind installation, and interior design services",,"238390, 337214, 337215, 541410",12 Plum Street  Verona PA 15147,12 Plum Street  Verona PA 15147,412-828-7420,412-828-3160,banderson@andersoninteriors.net,http://www.andersoninteriors.net,
DBE,Ann Trondle-Price,Ms. Ann Trondle-Price,"Provides advertising copywriting services and creative direction to advertising agencies and design firms for the benefit of their clients.  Creates ad copy and oversees marketing campaigns that may include websites, collateral, social media, digital, print, direct and broadcast advertising.",,541613,115 Candlelite Drive  McMurray PA 15317,115 Candlelite Drive  McMurray PA 15317,412-977-2930,724-941-2996,atrondle@comcast.net,http://www.anntrondleprice.com,
DBE,Anthony's ECO Lawn Care LLC,Mr. Anthony Beasley,"Landscaping company that specializes in eco-friendly lawn care maintenance, small tree removal, snow removal, construction of retaining walls",,"238140, 561730",1439 Clark St  Pittsburgh PA 15221,1439 Clark St  Pittsburgh PA 15221,412-980-7373,,anthonysecolawncare1@yahoo.com,http://anthonysecolawncare.com,
DBE,"Aone Contracting & Supplies, LLC",Emmett Miles,"Provides construction, project management and demolition services. Broker of building supplies, flagging, dumpsters portable toilets and trucking.",,"236115, 236116, 238190, 425120, 488510, 561190",7101 Upland Street  Pittsburgh PA 15208,7101 Upland Street  Pittsburgh PA 15208,412-345-7080,412-670-6488,emmett.miles64@gmail.com,,
DBE,"Apartment 11 Productions, LLC",Mrs. Kathleen M Lightholder,"Video production services for TV and web, training and educational videos and materials, capital campaign videos, promotional videos, real-estate tour videos, customer testimonial videos, animations and motion graphics, and a variety of communication materials",,512110,114 Forest Glen Drive  Imperial PA 15126,114 Forest Glen Drive  Imperial PA 15126,412-916-6896,,kati@apartment11productions.com,http://www.apartment11productions.com,
DBE,"Apogee Engineering, LLC","Ms. Monica Thomas, Mr. Gary Buretz","Lighting, electrical, mechanical, plumbing systems design for new and renovation construction; energy audits; and project management",,541330,208 Tillbrook Lane  Harrison City PA 15636,208 Tillbrook Lane  Harrison City PA 15636,724-744-0659,724-744-2411,apogeeengin@aol.com,http://www.apogeeengineer.com,
DBE,"Apple Designs, Inc.","Jessica Gray, Susan Erhart",Provides signage and wayfinding design services,,541430,"3739 National Drive, Suite 228  Raleigh NC 27612","3739 National Drive, Suite 228  Raleigh NC 27612",301-434-4500 x114,301-434-4500,jessica@apple-designs.com,http://www.apple-designs.com,
DBE,"Applied Intellect, LLC",Sanjeev K Sharma,Professional services for program management and IT services,,541611,1827 Willow Oak Drive  Wexford PA 15090,1827 Willow Oak Drive  Wexford PA 15090,724-765-0402,724-703-1666,sanjeev.sharma@ap-in.com,http://www.ap-in.com,
DBE,"Architectural Innovations, LLC",Ms. Jan Brimmeier,Architectural design services,,541310,1003 McKnight Park Drive  Pittsburgh PA 15237,1003 McKnight Park Drive  Pittsburgh PA 15237,412-364-4966,412-364-4965,jb@aipgh.com,http://www.aipgh.com,
DBE,"Area Engineering, Inc.",Mr. Nadeem Y Khadbai,Engineering services,,541330,"1215 Livingston Avenue, Suite 303  North Brunswick NJ 08902","1215 Livingston Avenue, Suite 303  North Brunswick NJ 08902",732-640-1288,732-453-3835,nkhadbai@areaengineering.net,,
DBE,"Arimas, LLC",Ms. Hafsa Gorman,Wholesale dealer for construction products; HVAC equipment and plumbing equipment,,"423310, 423330, 423390, 423720, 423730, 425120",5640 Valleyview Drive  Bethel Park PA 15102,5640 Valleyview Drive  Bethel Park PA 15102,412-833-5753,,hafsa.gorman@arimasllc.com,http://www.arimasllc.com,
DBE,Around the Clock Cleaning Specialists,Kimberlene J Taylor,Commercial and residential janitorial services,,561720,603 Margaret Street  Pittsburgh PA 15210,P.O. Box 59318  Pittsburgh PA 15210,412-758-9624,412-758-9624,kimtaylor44@yahoo.com,,
DBE,"Artistry Greenscapes, Inc.",Kenneth Ross,"Landscape construction, maintenance and other related services.",,561730,2235 Midtown Square  Pittsburgh PA 15219,2235 Midtown Square  Pittsburgh PA 15219,412-261-3835,412-261-3818,kross828@aol.com,,
DBE,Astyra Corporation,"Ken Ampy, Sam Young",Computer systems design and related services. Temporary help services.,,"541512, 561320","411 East Franklin Street, Suite 105  Richmond VA 23219","411 East Franklin Street, Suite 105  Richmond VA 23219",804-433-1100,,lrattigan@astyra.com,http://www.astyra.com,
DBE,"Axiom Actuarial Consulting, LLC",Mr. Carlos A Sanchez-Fuentes,"Broad actuarial consulting services in health, pension, life and employees benefits.  Administration of employee benefits such as retirement plans.",,541612,26 Knapton Street  Barrington RI 02806,26 Knapton Street  Barrington RI 02806,860-550-0740,,carlos-fuentes@axiom-actuarial.com,http://www.axiom-actuarial.com,
DBE,"Axis Business Consultants, LLC","Cynthia A Enscoe, William Enscoe","Wholesaler of copies and printers for sale, maintenance or lease.",,"532420, 811212, 811213",522 Parkway View Drive  Pittsburgh PA 15205,522 Parkway View Drive  Pittsburgh PA 15205,412-788-6262,412-788-5111,cindy@axis-bc.com,http://www.axis-bc.com,
DBE,B & Z Commercial Services,"Robert Sledge, Michael Talley","Commercial cleaning services, post-construction cleaning services, landscaping, hauling  and small demolition removal",,"238910, 238990, 561720",2060 Webster Avenue #302  Pittsburgh PA 15219,2060 Webster Avenue #302  Pittsburgh PA 15219,412-339-4400,,realbigbusiness@gmail.com,,
DBE,B P Electrical,Dennis Burton,Electrical contractor,,238210,2062 Swissvale Avenue  Pittsburgh PA 15221,2062 Swissvale Avenue  Pittsburgh PA 15221,412-292-9545,412-247-4869,dennisburtonbpelec@yahoo.com,,
DBE,B&B Window Cleaning & Building Services,Ms. Rebecca Press,"Provides window cleaning, both residential and commercial, exterior pressure washing, exterior building cleaning, and gutter cleaning.",,"561720, 561790",1057 McKenna Avenue  Pittsburgh PA 15205,1057 McKenna Avenue  Pittsburgh PA 15205,412-680-6530,412-341-1839,becca@bbwindowspgh.com,http://www.bbwindowpgh.com,
DBE,"BGE Consulting & Associates, LLC",Brenda J Murphy,"Project management, transportation and traffic engineering analysis and studies, transit planning management and operations, intelligent transportation system; analysis, operations and maintenance, quality assurance and quality control. System testing and acceptance, training coordination and training courses, construction inspection; compliance and facilities; design; electrical systems, audit systems; process development, performance protection control maintenance and damage; conference and meeting coordination, and strategic planning.",,"541611, 541614, 541620",928 Clarissa Street Suite 1  Pittsburgh PA 15219,928 Clarissa Street Suite 1  Pittsburgh PA 15219,412-888-7123,412-605-0854,brejomurphy@gmail.com,http://www.bgeglobal.com,
DBE,"BRS Roll-Off Services, LLC",Mr. Bruce Burke,Hauls and transports steel or construction materials to designated sites and provides roll-off dumpsters and disposal,,"484220, 562111, 562119",313 Camp Horne road  Pittsburgh PA 15202,313 Camp Horne road  Pittsburgh PA 15202,412-766-0834,412-766-0836,brstransport1@verizon.net,,
DBE,"Bailey Engineers & Constructors, Inc.",Andrew I Bailey,Engineering and construction services,,541330,1219 Monterey Street  Pittsburgh PA 15212,1219 Monterey Street  Pittsburgh PA 15212,412-323-9237,412-405-3028,aibailey@baileyec.com,http://www.baileyec.com,
DBE,"Barbara J. Sales Associates, Inc.",Ms. Barbara Smith,"Manufacturers' sales representative. Provides marketing, consulting with, specifying with, and selling products to architects, general contractors and glazing contractors in the glass/glazing section of commercial construction; architectural consulting services; provides brick, stone, and related construction materials.",,"423320, 425120, 541310",126 Venango Court  New Kensington PA 15068,126 Venango Court  New Kensington PA 15068,412-523-3398,800-813-7122,barb@barbarajsales.com,http://www.barbarajsales.com,
DBE,"Baseline Supply, LLC",Tracey Meents,Construction materials and machinery. General freight trucking.,,"423310, 423320, 423330, 423390, 423510, 423610, 423710, 423720, 423830, 423840, 424950, 484110",65 Turnberry Drive  Monroe Township NJ 08831,65 Turnberry Drive  Monroe Township NJ 08831,732-835-2080,888-398-2080,baselinesupply@gmail.com,http://www.baselinesupply.net,
DBE,"Bella Enterprises, Inc.",Ms. Karrie A Sitarik,"Contracting firm providing pavement base and storm drainage, sewer and waterline, manholes, inlets, culvert construction, curbs, sidewalks, asphalt and blacktop work, private driveways and parking areas, grading, retaining walls, silt barrier fence, gabions, erosion control, hauling, and protection of traffic",,"237110, 237310, 237990, 238910, 238990, 561990","1446 Smith Township State Road, Building 1  Burgettstown PA 15021","1446 Smith Township State Road, Building 1  Burgettstown PA 15021",724-701-6426,724-701-6244,A.Sikora@bellaenterprises.net,http://www.bellaenterprises.net,
DBE,"Bentz Law Firm, P.C.",Ms. Amy E Bentz,Law firm,,541110,"680 Washington Road, Suite 200  Pittsburgh PA 15228","680 Washington Road, Suite 200  Pittsburgh PA 15228",412-563-4500,412-563-4480,aebentz@bentzlaw.com,http://www.bentzlaw.com,
DBE,"Beth Buchwach, Consultant",Ms. Beth Buchwach,"Organization development and management consulting, writing and editing services, and professional development and management training",,"541611, 611430, 711510","5744 Kentucky Avenue, #6  Pittsburgh PA 15232","5744 Kentucky Avenue, #6  Pittsburgh PA 15232",412-225-7648,,buchwachbeth@gmail.com,,
DBE,"Beyond Spots and Dots, Inc.",Ms. Melanie Querry,"Advertising and marketing including public relations website development and social media; media planning, negotiating and buying; market research, brand consulting, logo design, video production, marketing materials, print design, web management, Internet advertising, competitive analysis, and copywriting",,"512110, 519130, 541810, 541840, 541850, 541890",1034 Fifth Avenue  Pittsburgh PA 15219,1034 Fifth Avenue  Pittsburgh PA 15219,412-576-8641,,mquerry@beyondspotsanddots.com,http://www.beyondspotsanddots.com,
DBE,"Blender, Inc.","Ms. Kris Knieriem, Mr. Steven Lowry","Integrated marketing firm providing full-service advertising, public relations, social media, creative, design, and community outreach services",,"541810, 541820",5423 Penn Avenue  Pittsburgh PA 15206,5423 Penn Avenue  Pittsburgh PA 15206,412-709-6149,412-709-6149,kris@blenderadv.com,https://www.blenderadv.com,
DBE,"Boyd Roll-Off Services, Inc.",Mr. Albert Boyd Jr.,Provides roll-off dumpsters for both commercial and residential customers,,562111,1107 Thompson Avenue  McKees Rocks PA 15136,1107 Thompson Avenue  McKees Rocks PA 15136,412-331-6830,412-331-2340,adrian@boydrolloff.com,http://www.boydrollservices.com,
DBE,"Brickley Construction, Inc.",Ms. Cynthia Brickley,Prime contractor providing general construction across the trades,,"236220, 238170, 238190, 238320, 238330, 238340, 238350, 238390",270 Robel Road  Portage PA 15946,270 Robel Road  Portage PA 15946,814-736-4436,814-736-4434,cebrickley@brickleyconstruction.com,,
DBE,"Bright Thought, LLC",Mr. Erik Thomas,"Provides high-level web design and development services, ongoing support service contracts to manage and monitor WordPress-based websites, and hosting services for web development clients",,"518210, 541511","700 River Avenue, Suite 210  Pittsburgh PA 15212","700 River Avenue, Suite 210  Pittsburgh PA 15212",412-342-8311,,erikt@brightthoughtdesign.com,http://www.brightthoughtdesign.com,
